countyfips,state,priv_schools,priv_enrollment
13099,GA,1,272
13107,GA,1,181
13109,GA,1,508
13111,GA,1,146
13113,GA,12,1056
13115,GA,4,1251
13117,GA,16,2319
13119,GA,2,54
13121,GA,94,25411
13123,GA,2,40
13127,GA,5,876
13129,GA,2,357
13133,GA,1,95
13135,GA,49,6891
13137,GA,3,1097
13139,GA,7,1098
13141,GA,1,124
13143,GA,1,12
13145,GA,1,54
13147,GA,2,123
13151,GA,14,2769
13153,GA,7,488
13157,GA,3,174
13159,GA,2,250
13163,GA,2,261
13171,GA,3,509
13175,GA,2,450
13179,GA,2,302
13185,GA,10,1380
13193,GA,3,81
13199,GA,1,199
13205,GA,2,304
13207,GA,1,17
13209,GA,1,8
13213,GA,3,67
13215,GA,11,2786
13217,GA,3,726
13219,GA,3,1149
13223,GA,1,35
13225,GA,1,26
13231,GA,3,184
13233,GA,1,14
13237,GA,1,368
13241,GA,1,578
13245,GA,12,1961
13247,GA,2,517
13251,GA,1,44
13255,GA,3,331
13261,GA,1,467
13269,GA,1,37
13275,GA,1,99
13277,GA,2,21
13279,GA,2,31
13281,GA,1,31
13283,GA,1,7
13285,GA,6,656
13293,GA,2,115
13295,GA,1,235
13297,GA,7,1489
13299,GA,1,126
13301,GA,1,348
13303,GA,1,283
13305,GA,1,21
13311,GA,1,34
13313,GA,3,474
15001,HI,11,1830
15003,HI,75,24960
15007,HI,5,381
15009,HI,16,3185
16001,ID,30,4585
16005,ID,3,529
16011,ID,1,23
16013,ID,2,137
16015,ID,1,7
16017,ID,8,433
16019,ID,6,601
16021,ID,4,173
16027,ID,9,1196
16039,ID,4,137
16045,ID,2,63
16049,ID,2,134
16053,ID,1,29
16055,ID,18,1566
16057,ID,3,481
16059,ID,1,9
16065,ID,1,39
16067,ID,1,98
16069,ID,5,346
16073,ID,1,17
16075,ID,1,53
16079,ID,1,17
16081,ID,2,107
16083,ID,7,587
16085,ID,2,45
17001,IL,8,1416
17003,IL,1,12
17005,OK,1,24
17007,IL,2,304
17009,IL,1,55
17011,IL,1,95
17013,IL,2,101
17017,IL,2,127
17019,IL,17,2328
17021,IL,5,506
17027,IL,3,710
17029,IL,4,275
17031,IL,448,79632
17033,IL,1,98
17037,IL,5,606
17041,IL,6,219
17043,IL,88,13651
17045,IL,1,21
17049,IL,4,960
17051,IL,2,124
17053,IL,1,23
17055,IL,3,120
17061,IL,1,161
17063,IL,1,165
17067,IL,1,74
17073,IL,1,113
17075,IL,2,49
17077,IL,5,357
17079,IL,1,152
17081,IL,1,30
17083,IL,1,319
17085,IL,2,150
17087,IL,1,11
17089,IL,40,6843
17091,IL,6,991
17093,IL,6,779
17095,IL,1,119
